City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-7.09,73,75,5.66,SJ,1707326627
1,plettenberg bay,-34.0527,23.3716,20.87,73,11,3.74,ZA,1707326628
2,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,76,75,3.0,RU,1707326629
3,college,64.8569,-147.8028,-14.5,79,75,0.0,US,1707326629
4,adamstown,-25.066,-130.1015,24.74,87,100,5.06,PN,1707326630
5,hawaiian paradise park,19.5933,-154.9731,18.35,93,75,3.6,US,1707326632
6,porto novo,6.4965,2.6036,30.9,28,11,3.66,BJ,1707326632
7,codrington,-38.2667,141.9667,10.84,89,21,3.07,AU,1707326633
8,grytviken,-54.2811,-36.5092,11.32,83,88,6.11,GS,1707326634
9,waitangi,-43.9535,-176.5597,16.57,96,95,2.15,NZ,1707326635
10,badger,64.8,-147.5333,-14.55,75,20,0.0,US,1707326636
11,bu'aale,1.0833,42.5833,29.69,58,16,6.21,SO,1707326637
12,carauari,-4.8828,-66.8958,29.28,78,99,0.89,BR,1707326638
13,kodiak,57.79,-152.4072,0.73,80,0,6.17,US,1707326486
14,port-aux-francais,-49.35,70.2167,4.17,96,95,11.21,TF,1707326639
15,parsons,37.3403,-95.2611,15.93,57,100,8.23,US,1707326576
16,isafjordur,66.0755,-23.124,-2.98,68,75,2.06,IS,1707326641
17,sao felix do xingu,-6.6447,-51.995,32.64,54,41,1.91,BR,1707326642
18,weno,7.4515,151.8468,26.97,78,75,4.12,FM,1707326643
19,arendal,58.4615,8.7725,-2.11,70,26,2.64,NO,1707326643
20,bilibino,68.0546,166.4372,-33.82,100,100,0.45,RU,1707326644
21,st. john's,47.5649,-52.7093,0.08,86,75,8.94,CA,1707326443
22,horta,38.5333,-28.6333,16.12,94,75,8.75,PT,1707326646
23,berdigestyakh,62.0989,126.6992,-33.97,100,97,1.14,RU,1707326647
24,chunskiy,56.0815,99.6342,-19.62,100,91,0.83,RU,1707326647
25,new castle,41.0037,-80.347,9.67,39,0,2.06,US,1707326648
26,hermanus,-34.4187,19.2345,22.11,74,2,6.9,ZA,1707326650
27,severo-yeniseyskiy,60.3725,93.0408,-12.46,99,91,1.34,RU,1707326651
28,tidjikja,18.5564,-11.4271,30.65,6,0,5.45,MR,1707326652
29,bredasdorp,-34.5322,20.0403,22.5,57,2,8.85,ZA,1707326653
30,peace river,56.2501,-117.286,-6.83,94,100,1.54,CA,1707326653
31,marsh harbour,26.5412,-77.0636,20.95,60,89,11.42,BS,1707326654
32,kashgar,39.4547,75.9797,-1.44,69,20,1.0,CN,1707326655
33,san antonio oeste,-40.7319,-64.9477,24.28,42,43,10.0,AR,1707326656
34,jiuquan,39.7432,98.5174,-6.25,70,1,1.12,CN,1707326657
35,wailua homesteads,22.0669,-159.378,22.44,75,100,7.72,US,1707326657
36,aasiaat,68.7098,-52.8699,-8.63,92,100,9.38,GL,1707326658
